,ID,Property price (USD),Sold date (MM/DD/YYYY),Address,Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,AC,FormattedAddress,Longitude,Latitude
9009,9010,280000,10/6/2022,"3519 W Polk St, Phoenix, AZ, 85009",779.0,sqft,359.44,6316.0,sqft,3.0,2.0,3519 W Polk St,Phoenix,85009,1,"3519 W POLK ST, PHOENIX, AZ, 85009",-112.13494122263296,33.453183217888636
9010,9011,280000,5/28/2021,"3126 N 39th Ave, Phoenix, AZ, 85019",1305.0,sqft,214.56,7004.0,sqft,,2.0,3126 N 39th Ave,Phoenix,85019,1,"3126 N 39TH AVE, PHOENIX, AZ, 85019",-112.14301866236264,33.484912244171255
9011,9012,280000,10/1/2021,"3120 N 40th Ln, Phoenix, AZ, 85019",1665.0,sqft,168.17,7313.0,sqft,3.0,2.0,3120 N 40th Ln,Phoenix,85019,1,"3120 N 40TH LN, PHOENIX, AZ, 85019",-112.14648457730277,33.484659782638175
9012,9013,280000,3/20/2023,"118 N 30th Ave, Phoenix, AZ, 85009",1586.0,sqft,176.54,8956.0,sqft,3.0,2.0,118 N 30th Ave,Phoenix,85009,1,"118 N 30TH AVE, PHOENIX, AZ, 85009",-112.12379197719673,33.449864543701835
9013,9014,280000,10/16/2023,"3011 W Adams St, Phoenix, AZ, 85009",878.0,sqft,318.91,7248.0,sqft,2.0,1.0,3011 W Adams St,Phoenix,85009,1,"3011 W ADAMS ST, PHOENIX, AZ, 85009",-112.12383190746851,33.44940239806755
9014,9015,280000,5/3/2022,"2422 W Hadley St, Phoenix, AZ, 85009",885.0,sqft,316.38,6016.0,sqft,,1.0,2422 W Hadley St,Phoenix,85009,1,"2422 W HADLEY ST, PHOENIX, AZ, 85009",-112.11137940895077,33.43951625076335
9015,9016,280000,2/22/2022,"5651 S 8th St, Phoenix, AZ, 85040",1460.0,sqft,191.78,0.46,acres,3.0,2.0,5651 S 8th St,Phoenix,85040,0,"5651 S 8TH ST, PHOENIX, AZ, 85040",-112.06234153141719,33.39487410510765
9016,9017,280000,8/4/2021,"6225 S 7th St, Phoenix, AZ, 85042",1037.0,sqft,270.01,0.64,acres,1.0,1.0,6225 S 7th St,Phoenix,85042,1,"6225 S 7TH ST, PHOENIX, AZ, 85042",-112.06461704695329,33.38965626201724
9017,9018,280000,9/2/2022,"2133 E Fillmore St, Phoenix, AZ, 85006",1224.0,sqft,228.76,8288.0,sqft,4.0,1.0,2133 E Fillmore St,Phoenix,85006,0,"2133 E FILLMORE ST, PHOENIX, AZ, 85006",-112.0354171707001,33.45513942375385
9018,9019,280000,10/14/2022,"2144 E Pierce St, Phoenix, AZ, 85006",972.0,sqft,288.07,5959.0,sqft,,1.0,2144 E Pierce St,Phoenix,85006,1,"2144 E PIERCE ST, PHOENIX, AZ, 85006",-112.0354678358234,33.456094175571025
9019,9020,280000,8/6/2021,"2133 E Pierce St, Phoenix, AZ, 85006",1023.0,sqft,273.7,5927.0,sqft,3.0,2.0,2133 E Pierce St,Phoenix,85006,1,"2133 E PIERCE ST, PHOENIX, AZ, 85006",-112.03559505708813,33.455979584196086
9020,9021,280000,5/21/2021,"1517 E Portland St, Phoenix, AZ, 85006",1196.0,sqft,234.11,6280.0,sqft,3.0,1.0,1517 E Portland St,Phoenix,85006,1,"1517 E PORTLAND ST, PHOENIX, AZ, 85006",-112.04943224379929,33.46047058430548
9021,9022,280000,10/20/2023,"1343 E Whitton Ave, Phoenix, AZ, 85014",1650.0,sqft,169.7,7375.0,sqft,,1.67,1343 E Whitton Ave,Phoenix,85014,1,"1343 E WHITTON AVE, PHOENIX, AZ, 85014",-112.05359991970937,33.48922558059991
9022,9023,280000,9/9/2021,"3252 E Brill St, Phoenix, AZ, 85008",1327.0,sqft,211.0,6233.0,sqft,,1.0,3252 E Brill St,Phoenix,85008,1,"3252 E BRILL ST, PHOENIX, AZ, 85008",-112.01124484375737,33.46468441775812
9023,9024,280000,7/27/2022,"1124 N 25th Pl, Phoenix, AZ, 85008",1750.0,sqft,160.0,0.31,acres,3.0,2.0,1124 N 25th Pl,Phoenix,85008,1,"1124 N 25TH PL, PHOENIX, AZ, 85008",-112.02704016749664,33.46067925612323
